yyyymm,CDS_01,CDS_02,CDS_03,CDS_04,CDS_05,CDS_06,CDS_07,CDS_08,CDS_09,CDS_10,CDS_11,CDS_12,CDS_13,CDS_14,CDS_15,CDS_16,CDS_17,CDS_18,CDS_19,CDS_20
200102,0.0039,0.004,0.0033,0.0024,0.0093,0.003,0.002,0.0048,0.0044,0.0039,0.0078,-0.0036,0.0042,0.0057,0.0027,-0.0153,-0.0032,0.007,0.0005,0.0193
200103,0.0012,0.0041,0.0061,0.0045,0.0073,0.0059,0.0079,0.0071,0.0087,-0.0112,0.006,0.0042,0.0032,0.0068,-0.0012,0.0093,0.0083,-0.0012,0.0072,0.0219
200104,0.0033,0.0044,0.0044,0.006,0.0054,0.0037,0.0044,0.0044,0.0068,0.0021,0.0098,0.0106,0.0084,0.0098,0.0083,0.0124,0.0061,0.0109,0.0041,-0.0018
200105,0.0038,0.0043,0.0045,0.0039,0.0044,0.0039,0.004,0.0075,0.0045,0.0034,0.0076,0.0078,0.0049,0.0117,0.0108,0.0061,0.015,0.0152,0.0184,0.014
200106,0.003,0.0027,0.0044,0.0037,0.0079,0.0042,0.0053,0.0035,0.004,0.0011,0.0031,0.0029,0.0038,0.0045,0.0034,0.0044,0.002,0.0073,0.0065,-0.0007
200107,0.003,0.0037,0.0029,0.0038,0.0023,0.0031,0.0027,0.004,0.0017,0.003,0.003,0.0015,0.0028,0.0037,0.0058,0.0057,0.007,0.0045,0.008,0.0168
200108,0.003,0.0031,0.0033,0.0021,0.0041,0.0024,0.0043,0.0039,0.0048,0.0012,0.0048,0.0008,0.0049,0.009,0.0051,0.0074,0.0091,0.0055,0.011,0.0014
200109,-0.0058,-0.0007,-0.0008,-0.0074,-0.0045,-0.0019,-0.0029,-0.0038,-0.0111,-0.0056,-0.0048,-0.0047,-0.0054,-0.0091,-0.0086,-0.0044,-0.0134,-0.0094,-0.0103,-0.027
200110,0.0023,0.0026,0.0017,0.004,0.0035,0.002,0.0013,0.0054,-0.0033,-0.0007,0.0046,-0.0048,0.0017,0.0005,-0.0005,-0.0026,-0.0065,0.0015,0.0031,-0.0032
200111,0.0023,0.0022,0.0044,0.0045,0.0062,0.0046,0.0007,0.007,0.0071,0.0053,0.0061,0.0077,0.003,0.0075,0.0124,0.009,0.0155,0.0098,0.0163,0.0075
