,Primary Dealer,compustat_name
0,"ABN AMRO BANK, N.V., NY BR          ",ABN-AMRO HOLDINGS NV
1,ABN AMRO INCORPORATED               ,ABN-AMRO HOLDINGS NV
2,"AUBREY G. LANSTON & CO., INC.      ",
3,"BA SECURITIES, INC.                ",BANKAMERICA CORP-OLD
4,BANC OF AMERICA SECURITIES LLC           ,BANK OF AMERICA CORP
5,"BANC ONE CAPITAL MARKETS, INC      ",BANK ONE CORP
6,BANCAMERICA ROBERTSON STEPHEN      ,BANKAMERICA CORP-OLD
7,"BANCAMERICA SECURITIES, INC.       ",BANKAMERICA CORP-OLD
8,BANK OF AMERICA NT & SA            ,BANK OF AMERICA CORP
9,"BANK OF NOVA SCOTIA, NEW YORK AGENCY",BANK OF NOVA SCOTIA
10,BANKERS TRUST                       ,BANKERS TRUST CORP
11,BARCLAYS CAPITAL INC.               ,BARCLAYS PLC
12,BARCLAYS DE ZOETE WEDD GSI          ,BARCLAYS PLC
13,BARCLAYS DE ZOETE WEDD SECURITIES IN,BARCLAYS PLC
14,BARTOW LEEDS & CO.                  ,
15,"BEAR,STEARNS & CO., INC.           ",BEAR STEARNS COMPANIES INC
16,BECKER                              ,
17,"BLYTH & CO., INC.                   ",
18,BLYTH EASTMAN DILLON CAPITAL MARKETS,
19,BMO CAPITAL MARKETS CORP. ,BANK OF MONTREAL
20,BMO NESBITT BURNS CORP.            ,BANK OF MONTREAL
21,BNP PARIBAS SECURITIES CORP.        ,BNP PARIBAS
22,"BNY SECURITIES, INC.                ",BNP PARIBAS
23,"BROPHY,GESTAL, KNIGHT AND CO., L.P.",
24,BT ALEX. BROWN INCORPORATED         ,
25,BT SECURITIES CORPORATION           ,
26,BZW SECURITIES INC.                 ,
27,"C.F. CHILDS & CO., INC              ",
28,CANTOR FITZGERALD & CO.,
29,CARROLL MCENTEE & MCGINLEY INC.     ,
30,CHASE MANHATTAN CAPITAL MARKETS CORP,CHASE MANHATTAN CORP -OLD
31,CHASE MANHATTAN GOV'T SECURITIES    ,CHASE MANHATTAN CORP -OLD
32,"CHASE SECURITIES, INC              ",CHASE MANHATTAN CORP -OLD
33,"CHASE SECURITIES, INC               ",CHASE MANHATTAN CORP -OLD
34,CHEMICAL                           ,CHEMICAL FINANCIAL CORP
35,CHEMICAL SECURITIES INC            ,CHEMICAL FINANCIAL CORP
36,"CHEMICAL SECURITIES, INC.          ",CHEMICAL FINANCIAL CORP
37,CIBC OPPENHEIMER CORP.             ,
38,CIBC WOOD GUNDY SECURITIES CO      ,
39,CIBC WORLD MARKETS CORP.           ,
40,CITIBANK                            ,CITIGROUP INC
41,"CITICORP SECURITIES MARKETS, INC.   ",CITIGROUP INC
42,"CITICORP SECURITIES, INC.           ",CITIGROUP INC
43,CITIGROUP GLOBAL MARKETS INC.  ,CITIGROUP INC
44,"CONTINENTAL BANK, NATIONAL ASSOC.   ",CONTINENTAL BANK CORP
45,CONTINENTAL ILL.                    ,CONTINENTAL BANK CORP
46,COUNTRYWIDE SECURITES CORPORATION,COUNTRYWIDE FINANCIAL CORP
47,"COUNTY NATWEST GOV. SEC., INC.      ",
48,CREDIT SUISSE 1ST BOSTON LLC   ,CREDIT SUISSE GROUP
49,CREDIT SUISSE FIRST BOSTON CO      ,CREDIT SUISSE GROUP
50,CREDIT SUISSE SECURITIES (USA) LLC,CREDIT SUISSE GROUP
51,"CRT GOVERNMENT SECURITIES,INC.     ",
52,CS FIRST BOSTON CORPORATION        ,FIRST BOSTON INC
53,"D.W. RICH & CO., INC                ",
54,DAIWA CAPITAL MARKETS AMERICA INC.,
55,DAIWA SECURITIES AMERICA INC.      ,
56,DEAN WITTER REYNOLDS INC.          ,
57,DEUTSCH BANC ALEX. BROWN INC.       ,DEUTSCHE BANK AG
58,DEUTSCHE BANK GSI                   ,DEUTSCHE BANK AG
59,DEUTSCHE BANK SECURITIES CORPORATION,DEUTSCHE BANK AG
60,DEUTSCHE BANK SECURITIES INC.       ,DEUTSCHE BANK AG
61,DEUTSCHE BANK SECURITIES INC.       ,DEUTSCHE BANK AG
62,DEUTSCHE MORGAN GRENFELL/C.J.       ,DEUTSCHE BANK AG
63,"DILLON, READ & CO., INC.           ",
64,DISCOUNT CORPORATION OF NEW YORK    ,ISRAEL DISCOUNT BANK LTD
65,DLJ SECURITIES CORPORATION         ,DONALDSON LUFKIN & JENRETTE
66,DRESDNER KLEINWORT BENSON NOR  ,DRESDNER BANK AG
67,DRESDNER KLEINWORT WASSERSTEIN SECURITIES LLC,DRESDNER BANK AG
68,DRESDNER KLEINWORT SECURITIES LLC,DRESDNER BANK AG
69,DREXEL BURNHAM LAMBERT             ,
70,EASTBRIDGE CAPITAL INC.             ,
71,F.I. DUPONT & CO                    ,
72,FIRST CHICAGO                      ,FIRST CHICAGO CORP
73,FIRST CHICAGO CAPITAL MARKETS      ,FIRST CHICAGO CORP
74,FIRST INTERSTATE                    ,FIRST INTERSTATE BANCSYSTEM
75,"FIRST INTERSTATE CAPITAL MARKETS,INC",FIRST INTERSTATE BANCSYSTEM
76,FIRST N/B OF BOSTON                 ,FIRST BOSTON INC
77,FIRST PENNCO SEC. INC.              ,
78,FUJI SECURITIES INC.               ,
79,"GOLDMAN, SACHS & CO.               ",GOLDMAN SACHS GROUP INC
80,"GREENWICH CAPITAL MARKETS, INC.     ",GREENWICH FINANCIAL CORP
81,HARRIS GOVERNMENT SECURITIES       ,
82,HARRIS NESBITT THOMSON SEC. INC.   ,
83,HARRIS TRUST                       ,
84,"HARRIS-NESBITT THOMSON SEC., INC.  ",
85,HSBC SECURITIES (USA) INC.          ,HSBC HLDGS PLC
